event_id,user_id,event_time,event_type,device_type,geo_location
97,6,2025-01-27 05:00:00,job_view,mobile,UK
98,6,2025-01-28 20:00:00,login, WEB,India
99,6,2025-01-29 19:00:00,job_view,,US
100,6,2025-01-30 05:00:00,JOB_VIEW,,UK
101,7,2025-01-20 00:00:00,signup,web,UK
102,7,2025-01-20 02:00:00,login,Mobile ,
103,7,,APPLY, WEB,India
104,7,2025-01-22 04:00:00,job_view,web,India
105,7,2025-01-23 08:00:00,apply, WEB,
106,7,2025-01-25 05:00:00,login,, US
107,7,2025-01-25 19:00:00,apply,web,India 
108,8,2025-02-09 00:00:00,signup, WEB,UK
109,8,2025-02-09 13:00:00,JOB_VIEW,,
110,8,2025-02-10 13:00:00,job_view,,US
111,8,2025-02-10 18:00:00,job_view,,India 
112,8,2025-02-12 07:00:00,APPLY,web,US
113,8,2025-02-12 16:00:00,job_view, WEB, US
114,8,2025-02-13 18:00:00,login,,US
115,8,2025-02-14 11:00:00,login,Mobile ,
116,8,2025-02-15 06:00:00,login,,India 
117,8,2025-02-15 15:00:00,JOB_VIEW,,UK
118,8,2025-02-16 05:00:00,LOGIN, WEB,UK
119,8,2025-02-17 23:00:00,login,Mobile ,UK
120,8,2025-02-18 18:00:00,login,web,India 
121,8,2025-02-20 14:00:00,job_view,Mobile ,India 
122,8,2025-02-21 00:00:00,apply, WEB,
123,8,2025-02-21 16:00:00,login,Mobile ,US
124,8,2025-02-21 22:00:00,login,mobile,UK
125,8,2025-02-23 19:00:00,job_view,,India 
126,8,2025-02-24 19:00:00,login,web,
127,9,,SIGNUP, WEB,
128,9,2025-01-19 23:00:00,login, WEB,
129,9,2025-01-21 02:00:00,login, WEB,India 
130,9,2025-01-22 05:00:00,JOB_VIEW, WEB,UK
131,9,2025-01-22 10:00:00,job_view,mobile,UK
132,9,2025-01-23 05:00:00,job_view,web,
133,9,2025-01-23 11:00:00,JOB_VIEW, WEB,US
134,9,2025-01-25 01:00:00,login,,India
135,9,2025-01-26 05:00:00,apply,mobile, US
136,9,2025-01-26 06:00:00,job_view, WEB,
137,9,2025-01-26 19:00:00,LOGIN,mobile,UK
138,9,2025-01-27 16:00:00,LOGOUT,mobile, US
139,9,2025-01-28 12:00:00,LOGIN,mobile,US
140,9,2025-01-29 15:00:00,apply,web,US
141,9,2025-01-31 08:00:00,JOB_VIEW,mobile,India 
142,9,2025-02-01 17:00:00,job_view,mobile,US
143,9,2025-02-02 01:00:00,logout,Mobile ,UK
144,9,2025-02-03 07:00:00,job_view, WEB,India
145,9,2025-02-04 23:00:00,LOGIN, WEB, US
146,9,2025-02-05 02:00:00,JOB_VIEW,mobile,India
147,10,2025-01-14 00:00:00,signup,mobile,US
148,10,2025-01-15 14:00:00,login,Mobile ,US
149,10,,apply,mobile,India
150,10,2025-01-16 01:00:00,LOGIN,mobile,UK
151,10,2025-01-17 08:00:00,login,web,India 
152,10,2025-01-18 10:00:00,LOGOUT,,India
153,10,2025-01-19 00:00:00,login,mobile,India 
154,10,2025-01-19 18:00:00,job_view, WEB,India 
155,10,2025-01-21 02:00:00,job_view,mobile,
156,10,2025-01-21 23:00:00,job_view,,India
157,10,2025-01-23 19:00:00,logout,web, US
158,10,2025-01-24 07:00:00,JOB_VIEW,web,
159,10,2025-01-25 04:00:00,logout,web,
160,10,2025-01-26 18:00:00,APPLY,Mobile , US
161,11,2025-01-25 00:00:00,signup,web,India
162,11,2025-01-25 22:00:00,APPLY,mobile,India 
163,11,2025-01-27 11:00:00,LOGIN,web,India 
164,11,2025-01-28 07:00:00,job_view,mobile,UK
165,11,2025-01-29 19:00:00,LOGIN,Mobile ,UK
166,11,,JOB_VIEW,,India
167,11,2025-01-31 17:00:00,login,,UK
168,11,,LOGIN,Mobile ,US
169,11,,JOB_VIEW,Mobile , US
170,11,2025-02-03 00:00:00,job_view,mobile,
171,11,2025-02-04 23:00:00,APPLY,mobile,India
172,11,2025-02-05 07:00:00,job_view,mobile,India
173,11,2025-02-06 07:00:00,job_view,Mobile ,UK
174,11,2025-02-06 23:00:00,login,, US
175,11,2025-02-07 00:00:00,login,web, US
176,11,2025-02-07 09:00:00,login,,US
177,11,2025-02-07 13:00:00,apply,,India
178,11,2025-02-07 18:00:00,job_view, WEB, US
179,11,2025-02-07 20:00:00,job_view,, US
180,11,2025-02-08 14:00:00,job_view,web,India
181,11,2025-02-08 20:00:00,JOB_VIEW,Mobile , US
182,11,2025-02-10 15:00:00,job_view, WEB,
183,11,2025-02-11 12:00:00,JOB_VIEW,,US
184,12,2025-01-09 00:00:00,signup, WEB,US
185,12,2025-01-09 01:00:00,job_view,,
186,12,2025-01-10 12:00:00,job_view,Mobile ,
187,12,2025-01-11 18:00:00,job_view,Mobile ,US
188,12,2025-01-13 12:00:00,APPLY,web,US
189,12,2025-01-15 08:00:00,JOB_VIEW,,India 
190,12,2025-01-16 00:00:00,logout,,India
191,12,2025-01-17 05:00:00,LOGIN,,India 
192,13,2025-02-04 00:00:00,signup,mobile,UK
193,13,2025-02-04 19:00:00,job_view,Mobile ,US
194,13,2025-02-06 04:00:00,apply, WEB,UK
195,13,2025-02-07 11:00:00,apply,Mobile ,US
196,13,,LOGIN,Mobile ,US
197,13,,LOGIN,web, US
198,13,2025-02-09 04:00:00,job_view, WEB,UK
199,13,2025-02-10 21:00:00,JOB_VIEW,Mobile ,India 
200,13,,logout,Mobile , US
201,13,2025-02-14 07:00:00,job_view,web,India 
202,13,2025-02-15 10:00:00,logout, WEB,India 
203,13,2025-02-15 16:00:00,login,,India
204,13,2025-02-17 09:00:00,job_view,Mobile ,US
205,14,2025-02-02 00:00:00,SIGNUP,web,India
206,14,2025-02-02 01:00:00,job_view,web,India
207,14,2025-02-03 23:00:00,apply,mobile,
208,14,2025-02-05 11:00:00,job_view,web,US
209,14,2025-02-06 13:00:00,logout,web,India
210,14,2025-02-07 23:00:00,LOGIN,,India 
211,14,2025-02-09 03:00:00,login,mobile,India 
212,14,2025-02-09 16:00:00,job_view,mobile,UK
213,14,2025-02-11 07:00:00,logout,,US
214,14,2025-02-12 05:00:00,JOB_VIEW,,India
215,14,2025-02-13 23:00:00,job_view,,UK
216,14,2025-02-14 04:00:00,login,mobile,
217,14,2025-02-15 14:00:00,apply,,US
218,14,2025-02-17 04:00:00,JOB_VIEW,Mobile ,US
219,14,,LOGIN,web,
220,14,2025-02-17 23:00:00,apply, WEB,India
221,14,2025-02-19 13:00:00,LOGIN,web, US
222,14,2025-02-19 18:00:00,login,, US
223,14,2025-02-20 21:00:00,login,web, US
224,14,2025-02-21 18:00:00,LOGOUT,mobile,India
225,14,2025-02-23 13:00:00,job_view,Mobile ,India 
226,14,2025-02-24 08:00:00,login, WEB,India
227,15,2025-01-27 00:00:00,signup,mobile, US
228,15,2025-01-27 22:00:00,job_view,web,India 
229,15,2025-01-28 01:00:00,login, WEB,US
230,15,2025-01-29 00:00:00,job_view, WEB,India 
231,15,2025-01-29 07:00:00,job_view, WEB,UK
232,15,2025-01-29 12:00:00,LOGIN,web,UK
233,15,2025-01-29 21:00:00,job_view,web,
234,15,2025-01-30 22:00:00,login, WEB,UK
235,15,2025-02-01 12:00:00,LOGIN,,
236,15,2025-02-02 20:00:00,job_view,web,
237,15,2025-02-04 07:00:00,login,,
238,15,2025-02-05 23:00:00,login,web,UK
239,15,,logout, WEB,UK
240,15,2025-02-09 05:00:00,LOGIN, WEB,
241,15,2025-02-10 00:00:00,job_view,web, US
242,15,2025-02-11 23:00:00,JOB_VIEW,Mobile ,India
243,15,2025-02-12 14:00:00,job_view,Mobile ,India 
244,15,2025-02-13 22:00:00,JOB_VIEW, WEB,India
245,16,2025-01-14 00:00:00,SIGNUP,Mobile ,UK
246,16,,login,,UK
247,16,2025-01-16 01:00:00,apply,mobile,India 
248,16,2025-01-18 00:00:00,job_view,Mobile ,
249,16,2025-01-19 01:00:00,login,web,UK
250,16,2025-01-19 12:00:00,job_view,web,US
251,16,2025-01-21 01:00:00,apply,web,US
252,16,2025-01-22 14:00:00,login,mobile,India 
253,16,2025-01-23 23:00:00,JOB_VIEW,Mobile ,India 
254,16,2025-01-24 06:00:00,job_view, WEB,India
255,16,2025-01-25 09:00:00,LOGOUT,mobile,US
256,16,2025-01-25 20:00:00,apply,Mobile ,US
257,16,2025-01-27 17:00:00,job_view,web,US
258,16,2025-01-29 13:00:00,logout, WEB,
259,16,2025-01-30 05:00:00,LOGIN,,India
260,16,2025-01-30 22:00:00,APPLY,mobile, US
261,17,2025-02-01 00:00:00,signup,mobile,India
262,17,2025-02-02 18:00:00,job_view,Mobile , US
263,17,2025-02-03 15:00:00,apply,web, US
264,17,2025-02-03 19:00:00,JOB_VIEW, WEB,
265,17,2025-02-05 05:00:00,APPLY,mobile,
266,17,2025-02-06 05:00:00,JOB_VIEW,,UK
267,18,2025-02-12 00:00:00,signup,web,
268,18,2025-02-13 19:00:00,apply,mobile,US
269,18,2025-02-14 23:00:00,login, WEB,
270,18,2025-02-16 15:00:00,LOGIN,Mobile , US
271,18,2025-02-17 11:00:00,job_view, WEB, US
272,18,2025-02-19 06:00:00,logout,Mobile ,India 
273,18,2025-02-20 18:00:00,LOGIN, WEB,UK
274,18,2025-02-22 16:00:00,job_view, WEB,
275,18,2025-02-24 11:00:00,logout,mobile,US
276,18,2025-02-25 13:00:00,job_view,mobile,
277,18,2025-02-26 06:00:00,login, WEB,India
278,19,2025-02-11 00:00:00,signup,web,UK
279,19,2025-02-12 07:00:00,APPLY,Mobile ,UK
280,19,2025-02-14 06:00:00,apply,web,India 
281,19,2025-02-16 00:00:00,LOGIN,web,UK
282,19,2025-02-16 03:00:00,job_view, WEB,US
283,19,2025-02-16 07:00:00,job_view,web, US
284,19,2025-02-18 01:00:00,logout,Mobile ,US
285,19,2025-02-19 14:00:00,login, WEB,
286,19,2025-02-20 00:00:00,login,Mobile ,
287,19,2025-02-21 01:00:00,job_view,mobile,India 
288,19,2025-02-22 07:00:00,job_view,Mobile ,US
289,19,2025-02-23 12:00:00,job_view,,India
290,19,2025-02-23 20:00:00,APPLY,,
291,19,2025-02-25 09:00:00,apply,web, US
292,20,2025-01-11 00:00:00,signup,web,UK
293,20,2025-01-11 13:00:00,login, WEB,India
294,20,2025-01-12 09:00:00,JOB_VIEW,, US
295,20,2025-01-12 19:00:00,job_view,,US
296,20,2025-01-13 10:00:00,job_view,web,
297,20,2025-01-14 01:00:00,LOGOUT,web,US
298,20,2025-01-14 12:00:00,job_view,Mobile ,India
299,20,2025-01-15 07:00:00,apply,mobile,US
300,20,,apply,web,US
301,20,2025-01-16 10:00:00,LOGIN,web,UK
302,20,2025-01-16 22:00:00,login,,US
303,20,2025-01-18 13:00:00,job_view, WEB,India
304,20,2025-01-20 01:00:00,apply, WEB,UK
305,20,2025-01-21 17:00:00,login,web,India
306,21,2025-02-08 00:00:00,signup,Mobile ,UK
307,21,2025-02-09 13:00:00,job_view,,
308,21,2025-02-10 22:00:00,job_view, WEB,US
309,21,2025-02-12 18:00:00,logout,Mobile ,US
310,21,,login,,
311,21,2025-02-15 21:00:00,job_view,web,
312,21,2025-02-17 03:00:00,LOGOUT,web,UK
313,21,2025-02-17 15:00:00,LOGIN,Mobile ,US
314,21,2025-02-18 15:00:00,login,,
315,21,2025-02-19 08:00:00,job_view,mobile,
316,21,2025-02-20 08:00:00,job_view,web,US
317,21,2025-02-21 03:00:00,JOB_VIEW,Mobile ,UK
318,21,2025-02-21 17:00:00,LOGIN,Mobile ,UK
319,21,2025-02-23 00:00:00,JOB_VIEW,mobile,India 
320,21,2025-02-24 23:00:00,JOB_VIEW,,
321,21,2025-02-25 21:00:00,job_view,mobile,
322,22,2025-01-24 00:00:00,signup,web,UK
323,22,2025-01-24 02:00:00,JOB_VIEW,web,India
324,22,2025-01-24 12:00:00,login,,
325,22,2025-01-26 05:00:00,job_view,mobile,
326,22,2025-01-27 08:00:00,job_view, WEB,
327,22,2025-01-29 03:00:00,APPLY,web,UK
328,22,2025-01-31 01:00:00,LOGIN,,US
329,23,2025-02-21 00:00:00,SIGNUP,mobile,India 
330,23,2025-02-22 01:00:00,login, WEB,US
331,23,2025-02-22 15:00:00,job_view,,India 
332,23,2025-02-24 04:00:00,job_view, WEB,India
333,23,2025-02-26 03:00:00,login,Mobile ,
334,23,,login,web,UK
335,24,2025-02-28 00:00:00,signup,web,
336,24,2025-03-01 07:00:00,job_view,Mobile ,India
337,24,2025-03-03 01:00:00,APPLY,mobile,US
338,24,2025-03-04 17:00:00,LOGIN, WEB, US
339,24,2025-03-05 21:00:00,job_view,mobile,
340,24,2025-03-06 00:00:00,logout,Mobile ,UK
341,24,2025-03-07 17:00:00,job_view,,
342,25,2025-01-02 00:00:00,SIGNUP,,India
343,25,2025-01-03 21:00:00,login,mobile,
344,25,2025-01-04 08:00:00,job_view, WEB,UK
345,25,2025-01-05 21:00:00,job_view,mobile, US
346,25,2025-01-07 20:00:00,apply,mobile,UK
347,25,2025-01-08 04:00:00,job_view,,US
348,25,,apply,,India
349,25,2025-01-09 17:00:00,login,web,India 
350,25,2025-01-10 17:00:00,login,,UK
351,25,2025-01-11 16:00:00,JOB_VIEW,mobile,US
352,25,2025-01-12 16:00:00,job_view,,India
353,25,,apply,,UK
354,25,2025-01-14 19:00:00,JOB_VIEW,Mobile ,UK
355,25,2025-01-16 15:00:00,logout,,India
356,25,2025-01-16 18:00:00,LOGIN,web,
357,25,2025-01-16 23:00:00,LOGIN, WEB,UK
358,25,2025-01-17 07:00:00,login, WEB,UK
359,25,2025-01-18 02:00:00,apply,web,US
360,26,2025-02-25 00:00:00,signup,Mobile ,US
361,26,2025-02-26 17:00:00,login,mobile,US
362,26,2025-02-27 17:00:00,JOB_VIEW,Mobile ,
363,26,2025-02-28 04:00:00,JOB_VIEW,Mobile , US
364,26,2025-02-28 15:00:00,login,, US
365,26,2025-02-28 21:00:00,job_view,Mobile ,UK
366,26,2025-03-01 00:00:00,job_view,web, US
367,26,2025-03-02 12:00:00,JOB_VIEW,Mobile ,
368,26,2025-03-03 21:00:00,apply,,UK
369,26,2025-03-04 02:00:00,job_view,web,US
370,26,2025-03-05 21:00:00,LOGIN,Mobile ,India
371,26,2025-03-07 01:00:00,JOB_VIEW,Mobile ,US
372,26,2025-03-07 18:00:00,job_view,Mobile ,
373,26,2025-03-08 10:00:00,APPLY,,UK
374,26,2025-03-09 18:00:00,logout,web,UK
375,26,2025-03-10 09:00:00,job_view,Mobile ,India
376,26,2025-03-11 22:00:00,job_view,web,India
377,26,2025-03-12 23:00:00,job_view,web,US
378,26,2025-03-13 02:00:00,apply,web, US
379,26,2025-03-13 09:00:00,job_view,Mobile ,
380,26,2025-03-14 00:00:00,job_view,Mobile ,
381,27,2025-02-17 00:00:00,signup,web,UK
382,27,2025-02-17 11:00:00,job_view,Mobile , US
383,27,2025-02-18 21:00:00,job_view,mobile,
384,27,2025-02-19 10:00:00,JOB_VIEW,web,US
385,27,2025-02-20 14:00:00,JOB_VIEW,Mobile ,
386,27,2025-02-22 06:00:00,login,,India 
387,27,2025-02-23 16:00:00,login, WEB,India
388,27,,JOB_VIEW,web, US
389,27,2025-02-25 12:00:00,APPLY,,
390,27,2025-02-25 23:00:00,JOB_VIEW, WEB,UK
391,27,2025-02-26 20:00:00,JOB_VIEW,web,India
392,27,2025-02-27 13:00:00,apply,,UK
393,27,2025-02-28 04:00:00,apply, WEB, US
394,27,2025-03-01 17:00:00,job_view,,India 
395,27,2025-03-02 10:00:00,job_view,Mobile ,India
396,28,2025-02-28 00:00:00,SIGNUP,,India
397,28,2025-03-01 03:00:00,JOB_VIEW,, US
398,28,2025-03-01 11:00:00,JOB_VIEW,web,India
399,28,2025-03-01 20:00:00,logout, WEB,India
400,28,2025-03-03 15:00:00,LOGIN, WEB,UK
401,28,2025-03-04 21:00:00,apply,Mobile ,India
402,28,2025-03-06 19:00:00,apply,, US
403,28,2025-03-08 13:00:00,login,mobile,India
404,28,2025-03-08 17:00:00,job_view,,UK
405,28,,job_view, WEB,
406,28,2025-03-12 08:00:00,job_view,,
407,28,2025-03-13 04:00:00,job_view,mobile,
408,28,2025-03-14 01:00:00,job_view, WEB,India 
409,28,2025-03-15 07:00:00,LOGOUT,web,
410,29,2025-02-10 00:00:00,SIGNUP, WEB,India 
411,29,2025-02-10 18:00:00,APPLY,,US
412,29,2025-02-12 11:00:00,login,Mobile ,
413,29,2025-02-12 23:00:00,job_view,,US
414,29,2025-02-14 11:00:00,login,,US
415,29,2025-02-14 22:00:00,login,mobile,
416,29,2025-02-15 22:00:00,login,,UK
417,29,2025-02-17 02:00:00,login, WEB,India 
418,29,2025-02-17 14:00:00,APPLY,mobile,US
419,29,2025-02-19 12:00:00,apply,web,
420,29,,login,Mobile ,India 
421,29,2025-02-20 18:00:00,job_view,Mobile ,
422,29,2025-02-21 05:00:00,login,Mobile ,US
423,29,2025-02-21 21:00:00,JOB_VIEW, WEB,US
424,29,2025-02-23 07:00:00,JOB_VIEW, WEB,India 
425,29,2025-02-24 05:00:00,job_view,mobile,India 
426,29,2025-02-25 14:00:00,logout,Mobile ,India
427,29,2025-02-26 06:00:00,LOGIN,web,UK
428,29,2025-02-28 03:00:00,APPLY, WEB,
429,29,2025-02-28 15:00:00,JOB_VIEW,mobile,India
430,30,2025-01-25 00:00:00,signup,,India
431,30,2025-01-26 07:00:00,LOGIN,web,India
432,30,2025-01-27 06:00:00,APPLY,web,
433,30,2025-01-28 07:00:00,job_view,mobile, US
434,30,2025-01-30 00:00:00,job_view,Mobile ,UK
435,30,2025-01-30 14:00:00,APPLY,Mobile ,India 
436,30,2025-01-30 20:00:00,job_view,mobile,India 
437,30,2025-01-31 21:00:00,JOB_VIEW,mobile,US
438,30,2025-02-01 14:00:00,job_view,web,India
439,30,2025-02-02 18:00:00,LOGIN,mobile,India 
440,30,2025-02-03 00:00:00,apply,mobile,India
441,30,2025-02-04 13:00:00,JOB_VIEW, WEB,UK
442,30,,job_view,web,UK
443,30,2025-02-06 13:00:00,job_view,mobile,US
444,30,2025-02-07 02:00:00,apply,,
445,30,2025-02-08 19:00:00,LOGIN,Mobile ,
446,30,2025-02-08 21:00:00,APPLY,Mobile ,India
447,30,2025-02-10 01:00:00,login,Mobile ,
448,30,2025-02-11 23:00:00,job_view,,India 
449,30,2025-02-13 04:00:00,job_view,Mobile ,India
450,31,2025-02-26 00:00:00,SIGNUP,mobile,US
451,31,2025-02-27 14:00:00,job_view,Mobile ,UK
452,31,2025-02-28 20:00:00,APPLY,mobile, US
453,31,2025-03-02 01:00:00,login,,India 
454,31,2025-03-03 06:00:00,job_view,Mobile ,India 
455,31,2025-03-04 23:00:00,apply,,India 
456,32,2025-02-28 00:00:00,signup,mobile,US
457,32,2025-03-01 10:00:00,LOGIN, WEB,US
458,32,2025-03-01 12:00:00,login,Mobile ,UK
459,32,2025-03-02 20:00:00,JOB_VIEW, WEB,
460,32,2025-03-03 12:00:00,LOGIN,Mobile ,India 
461,32,2025-03-03 16:00:00,logout,mobile,India 
462,32,2025-03-05 06:00:00,login,web, US
463,32,2025-03-06 05:00:00,login,Mobile ,India 
464,32,2025-03-06 11:00:00,job_view, WEB,
465,32,2025-03-07 20:00:00,JOB_VIEW,,US
466,32,2025-03-08 06:00:00,APPLY,web, US
467,33,,signup,web, US
468,33,2025-02-25 17:00:00,job_view,web, US
469,33,2025-02-27 16:00:00,job_view,mobile, US
470,33,2025-03-01 06:00:00,JOB_VIEW, WEB,UK
471,33,2025-03-02 12:00:00,JOB_VIEW,,India
472,33,2025-03-04 00:00:00,job_view,Mobile ,US
473,33,2025-03-04 16:00:00,LOGIN,Mobile ,India
474,33,2025-03-06 11:00:00,job_view,Mobile ,
475,33,2025-03-06 18:00:00,login, WEB,UK
476,33,2025-03-07 10:00:00,APPLY,Mobile , US
477,33,2025-03-08 12:00:00,job_view,web,
478,33,2025-03-10 07:00:00,LOGIN, WEB,US
479,33,2025-03-10 22:00:00,LOGIN,mobile,India 
480,33,2025-03-11 18:00:00,apply,Mobile ,US
481,33,2025-03-11 19:00:00,JOB_VIEW, WEB, US
482,33,2025-03-12 08:00:00,JOB_VIEW,,UK
483,33,2025-03-14 03:00:00,job_view,Mobile , US
484,33,2025-03-14 08:00:00,JOB_VIEW, WEB,India
485,33,2025-03-15 16:00:00,LOGIN,Mobile ,India
486,33,2025-03-16 11:00:00,job_view,,India
487,33,2025-03-17 02:00:00,APPLY,mobile, US
488,33,2025-03-18 03:00:00,JOB_VIEW,web, US
489,33,2025-03-18 11:00:00,job_view,Mobile , US
490,33,2025-03-19 13:00:00,job_view,Mobile ,India 
491,34,2025-02-04 00:00:00,SIGNUP,mobile,
492,34,2025-02-05 12:00:00,apply,Mobile ,UK
493,34,2025-02-07 00:00:00,login,,UK
494,34,2025-02-07 17:00:00,JOB_VIEW,web,India 
495,34,2025-02-08 22:00:00,job_view,web,India 
496,34,2025-02-09 13:00:00,logout,, US
497,35,2025-02-05 00:00:00,signup,,
498,35,2025-02-06 09:00:00,LOGIN,web,India 
499,35,2025-02-07 11:00:00,job_view,,India 
500,35,2025-02-08 11:00:00,login,web,
501,35,2025-02-10 08:00:00,APPLY, WEB,India
502,35,2025-02-10 17:00:00,login,mobile,UK
503,35,2025-02-10 21:00:00,LOGIN,, US
504,35,2025-02-12 07:00:00,JOB_VIEW,,India 
505,35,2025-02-12 16:00:00,APPLY,, US
506,35,2025-02-13 19:00:00,login,,India
507,35,2025-02-14 15:00:00,login,mobile,
508,35,2025-02-15 12:00:00,apply,web,UK
509,35,2025-02-17 07:00:00,login,web, US
510,35,2025-02-17 20:00:00,logout,web, US
511,35,2025-02-18 22:00:00,job_view,web,India 
512,35,2025-02-19 00:00:00,login,mobile,India
513,35,2025-02-19 14:00:00,login,,India
514,35,2025-02-20 10:00:00,job_view,Mobile ,India
515,35,2025-02-20 13:00:00,LOGIN, WEB, US
516,35,2025-02-20 22:00:00,login,mobile, US
517,35,2025-02-21 16:00:00,apply, WEB,US
518,35,2025-02-22 09:00:00,job_view, WEB, US
519,35,2025-02-23 10:00:00,job_view,mobile,UK
520,35,2025-02-23 19:00:00,login,,India
521,36,2025-01-07 00:00:00,SIGNUP,, US
522,36,2025-01-07 15:00:00,login, WEB,
523,36,2025-01-09 04:00:00,logout,mobile, US
524,36,2025-01-10 01:00:00,LOGIN,Mobile ,India 
525,36,2025-01-11 16:00:00,job_view, WEB, US
526,36,2025-01-12 10:00:00,apply,,
527,36,2025-01-13 15:00:00,JOB_VIEW,, US
528,36,2025-01-15 08:00:00,job_view,,
529,36,2025-01-15 15:00:00,logout,web,India
530,36,2025-01-15 23:00:00,apply,web,India 
531,36,2025-01-17 18:00:00,login,Mobile , US
532,36,2025-01-19 07:00:00,job_view,web, US
533,36,2025-01-21 04:00:00,login,,India
